profile_code,category_code,display_name,usage_summary,allowed_items_text,allowed_item_count,limit_display_type,limit_text,limit_detail_text,formula_expression,institution_scope,over_limit_action,source_articles,effective_from,display_order,is_active
LEGAL_INDIRECT,INDIRECT,간접비,간접비으로 사용할 수 있는 지침상 세부 항목입니다.,하위 세부 비목에서 사용 가능 항목을 확인합니다.,0,INSTITUTION_FORMULA,기관 유형별 간접비비율,"영리기관은 수정직접비의 10%, 비영리기관은 기관별 고시비율 등을 적용합니다.",modified_direct_cost * 0.10,ALL_OR_RULE_SPECIFIC,NOT_ALLOWED,"[""제5조제2항·제63조·제114조""]",2026-05-06,20,True
LEGAL_DIRECT_LABOR,DIRECT_LABOR,인건비,인건비으로 사용할 수 있는 지침상 세부 항목입니다.,"참여연구자 급여, 연구근접지원인력 급여, 참여연구자 4대보험 기관부담금, 참여연구자 퇴직급여충당금, 연구근접지원인력 4대보험 기관부담금, 연구근접지원인력 퇴직급여충당금, 영리기관 기존 참여연구자 현금 인건비, 중소·중견기업 신규채용 참여연구자 현금 인건비",8,NO_FIXED_CAP,별도 정률 총액상한 없음,월 급여와 인건비계상률 및 기관 유형별 현금계상 조건을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제6조·제65조""]",2026-05-06,100,True
LEGAL_DIRECT_STUDENT_LABOR,DIRECT_STUDENT_LABOR,학생인건비,학생인건비으로 사용할 수 있는 지침상 세부 항목입니다.,"학생연구자 인건비, 학·연 협동과정 학생연구자 인건비, 외국대학 학생연구자 인건비, 6개월 이상 연수프로그램 학생연구자 인건비, 학생연구자 4대보험 기관부담금, 학생연구자 퇴직급여충당금",6,NO_FIXED_CAP,별도 정률 총액상한 없음,대상 기관과 학생연구자 자격 및 학생인건비 계상기준을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제7조""]",2026-05-06,110,True
LEGAL_DIRECT_EQUIPMENT,DIRECT_EQUIPMENT,연구시설·장비비,연구시설·장비비으로 사용할 수 있는 지침상 세부 항목입니다.,"연구시설·장비 구입비, 연구시설·장비 설치비, 장비 구입·설치 부대비용, 연구시설·장비 성능향상비, 연구시설·장비 임차비, 연구시설·장비 유지·보수비, 연구시설·장비 운영비, 연구시설·장비 이전 설치비, 연구인프라 부지·시설 매입·임차·조성비, 연구인프라 설계·건축·감리비, 연구인프라 장비 구입·설비비, 연구인프라 종합사업관리비",12,PROCEDURE_BASED,별도 총액상한 없음,3천만원·1억원 절차기준과 원래계획 여부에 따른 사전승인 기준을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제8조·제23조""]",2026-05-06,120,True
LEGAL_DIRECT_MATERIAL,DIRECT_MATERIAL,연구재료비,연구재료비으로 사용할 수 있는 지침상 세부 항목입니다.,"시약·재료 구입비, 연구재료 구입 부대비용, 연구개발과제 관리시스템 운영비, 시험제품·시험설비 자체 제작비, 시험제품·시험설비 외부 제작비",5,NO_FIXED_CAP,별도 정률 총액상한 없음,"과제 직접 관련성, 구매·검수 및 기관별 현금·현물 기준을 적용합니다.",,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제9조·제24조""]",2026-05-06,130,True
LEGAL_DIRECT_ACTIVITY,DIRECT_ACTIVITY,연구활동비,연구활동비으로 사용할 수 있는 지침상 세부 항목입니다.,하위 세부 비목에서 사용 가능 항목을 확인합니다.,0,CHILD_RULES,세부 항목별 기준 적용,연구활동비의 11개 세부 사용용도와 각 제한을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조·제25조""]",2026-05-06,140,True
LEGAL_ACTIVITY_IP,ACTIVITY_IP,지식재산 창출 활동비,지식재산 창출 활동비으로 사용할 수 있는 지침상 세부 항목입니다.,"기술정보 조사·분석비, 특허정보 조사·분석비, 표준정보 조사·분석비, 원천·핵심특허 확보전략 수립비",4,NO_FIXED_CAP,별도 정률 총액상한 없음,지식재산 창출 활동에 한하며 출원·등록·유지 비용과 구분합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제1호·제25조제1항""]",2026-05-06,141,True
LEGAL_ACTIVITY_EXTERNAL_TECH,ACTIVITY_EXTERNAL_TECH,외부 전문기술 활용비,외부 전문기술 활용비으로 사용할 수 있는 지침상 세부 항목입니다.,"기술도입비, 전문가 자문료, 외부 전문가 강사료, 외부 전문가 원고료, 그 밖의 전문가 활용비, 연구개발서비스 활용비, 국외기관·외국인 전문기술 활용비",7,FORMULA,직접비의 40% 이내,중앙행정기관 인정 시 40%를 초과할 수 있습니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제2호·제25조제2항""]",2026-05-06,142,True
LEGAL_ACTIVITY_MEETING,ACTIVITY_MEETING,회의비,회의비으로 사용할 수 있는 지침상 세부 항목입니다.,"회의장 임차료, 속기료, 통역료, 회의·세미나 개최비, 회의 식비",5,CONDITION_BASED,별도 정률 총액상한 없음,내부 참여연구자만 참석하는 회의의 식비 제한과 증빙기준을 적용합니다.,,ALL_OR_RULE_SPECIFIC,FULL_EVIDENCE_REQUIRED,"[""제10조제3호·제25조제4항·제5항""]",2026-05-06,143,True
LEGAL_ACTIVITY_TRAVEL,ACTIVITY_TRAVEL,출장비,출장비으로 사용할 수 있는 지침상 세부 항목입니다.,"국내출장 교통비, 국내출장 숙박비, 국내출장 식비·일비, 국외출장 교통비, 국외출장 숙박비, 국외출장 식비·일비, 파견 관련 지원비, 전보 관련 지원비, 파견·전보 주거지원비",9,POLICY_BASED,기관 여비규정 기준,기관 자체규정 또는 공무원 여비규정을 적용하고 제공 식대는 차감합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제4호·제25조제6항부터제8항""]",2026-05-06,144,True
LEGAL_ACTIVITY_SOFTWARE,ACTIVITY_SOFTWARE,소프트웨어 활용비,소프트웨어 활용비으로 사용할 수 있는 지침상 세부 항목입니다.,"소프트웨어 구입비, 소프트웨어 설치비, 소프트웨어 임차비, 소프트웨어 사용권·구독료, 데이터베이스 이용료, 네트워크 이용료",6,DEADLINE_BASED,별도 정률 총액상한 없음,일반 과제는 종료 2개월 전까지 사용계약 체결이 원칙입니다.,software_purchase_price * 0.20,ALL_OR_RULE_SPECIFIC,NOT_ALLOWED,"[""제10조제5호·제25조제9항·제10항""]",2026-05-06,145,True
LEGAL_ACTIVITY_CLOUD,ACTIVITY_CLOUD,클라우드컴퓨팅서비스 활용비,클라우드컴퓨팅서비스 활용비으로 사용할 수 있는 지침상 세부 항목입니다.,"클라우드 컴퓨팅 이용료, 클라우드 저장공간 이용료, 클라우드 데이터베이스 이용료, 클라우드 네트워크 이용료, 정액제·구독형 클라우드 비용",5,CONDITION_BASED,별도 정률 총액상한 없음,이용지원시스템 확인 및 정액제 계약기간 기준을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제6호·제25조제11항·제12항""]",2026-05-06,146,True
LEGAL_ACTIVITY_LAB_OPERATION,ACTIVITY_LAB_OPERATION,연구실운영비,연구실운영비으로 사용할 수 있는 지침상 세부 항목입니다.,"사무용 기기 구입비, 사무용 기기 임차비, 사무용 소프트웨어 비용, 사무용품비, 연구실 운영 소모성 비용, 연구실 냉난방 기기 비용, 연구실 청결 환경 유지 기기·비품, 연구실 환경유지 기기·비품 유지비",8,PLAN_BASED,기관 자체규정·원래계획 범위,영리기관은 소모성 비용을 제외하고 활용·관리계획 범위에서 사용합니다.,,ALL_OR_RULE_SPECIFIC,PRIOR_APPROVAL_REQUIRED,"[""제10조제7호·제25조제13항·제68조제4항·제5항""]",2026-05-06,147,True
LEGAL_ACTIVITY_PERSONNEL_SUPPORT,ACTIVITY_PERSONNEL_SUPPORT,연구인력 지원비,연구인력 지원비으로 사용할 수 있는 지침상 세부 항목입니다.,"과제 관련 교육·훈련비, 학회 참가비, 세미나 참가비, 야근·특근 식대",4,CONDITION_BASED,별도 정률 총액상한 없음,과제 직접 관련성이 없는 교육·학회·학위과정·평일 점심 등은 제외합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제8호·제25조제14항""]",2026-05-06,148,True
LEGAL_ACTIVITY_FOREIGN_RESEARCHER,ACTIVITY_FOREIGN_RESEARCHER,해외연구자 유치 지원비,해외연구자 유치 지원비으로 사용할 수 있는 지침상 세부 항목입니다.,"해외연구자 유치 장려금, 해외연구자 체재비, 해외연구자 주거지원비, 해외연구자 유치 이동비, 그 밖의 해외연구자 유치 지원비",5,RECOGNITION_BASED,중앙행정기관 인정 후 계상,거주기간·친족관계·자체절차 요건을 모두 충족해야 합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제9호·제25조제15항·제16항""]",2026-05-06,149,True
LEGAL_ACTIVITY_PROGRAM_MANAGEMENT,ACTIVITY_PROGRAM_MANAGEMENT,종합사업관리비,종합사업관리비으로 사용할 수 있는 지침상 세부 항목입니다.,"연구인프라 사업 기획비, 연구인프라 사업 조정비, 연구인프라 추진과정 자문비, 연구인프라 종합사업관리비",4,PROGRAM_BASED,사업 목적에 따른 계상,연구인프라 조성을 목적으로 하는 사업에 한해 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제10호""]",2026-05-06,150,True
LEGAL_ACTIVITY_OTHER,ACTIVITY_OTHER,그 밖의 비용,그 밖의 비용으로 사용할 수 있는 지침상 세부 항목입니다.,"문헌구입비, 논문 게재료, 인쇄비, 복사비, 인화비, 슬라이드 제작비, 세금 및 공과금, 우편요금, 택배비, 각종 수수료, 공공요금, 일용직 활용비, 연구실증 참여자 활용비, 그 밖의 과제 직접 관련 비용",14,NO_FIXED_CAP,별도 정률 총액상한 없음,과제와 직접 관련성이 입증되는 비용만 계상합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조제11호""]",2026-05-06,151,True
LEGAL_DIRECT_INNOVATION,DIRECT_INNOVATION,연구혁신비,연구혁신비으로 사용할 수 있는 지침상 세부 항목입니다.,"연구혁신비-연구재료 구입비, 연구혁신비-과제 관리비, 연구혁신비-재료 제작비, 연구혁신비-회의비, 연구혁신비-출장비, 연구혁신비-소프트웨어 활용비, 연구혁신비-클라우드 활용비, 연구혁신비-연구실운영비, 연구혁신비-연구인력 지원비, 연구혁신비-그 밖의 연구활동비",10,MULTI_LIMIT,"재료비+활동비 합계 10%, 연차평균 5천만원","재료용도 건별 300만원, 활동용도 건별 50만원 이하이며 외부 전문기술 활용비는 제외합니다.",,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제10조의2·제25조의2""]",2026-06-11,160,True
LEGAL_DIRECT_INCENTIVE,DIRECT_INCENTIVE,연구수당,연구수당으로 사용할 수 있는 지침상 세부 항목입니다.,"연구책임자 연구수당, 참여연구자 연구수당, 학생연구자 연구수당",3,FORMULA,수정인건비의 20% 이내,참여연구자 2명 이상이면 1인 지급액은 전체 연구수당의 70% 이내입니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제11조·제26조""]",2026-05-06,170,True
LEGAL_DIRECT_SECURITY,DIRECT_SECURITY,보안수당,보안수당으로 사용할 수 있는 지침상 세부 항목입니다.,"보안과제 연구책임자 보안수당, 보안과제 참여연구자 보안수당, 보안과제 학생연구자 보안수당, 보안과제 연구근접지원인력 보안수당",4,FORMULA,개인별 인건비의 3% 이내,보안과제 참여자에게만 지급합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제11조의2·제26조의2""]",2026-05-06,180,True
LEGAL_DIRECT_SUBCONTRACT,DIRECT_SUBCONTRACT,위탁연구개발비,위탁연구개발비으로 사용할 수 있는 지침상 세부 항목입니다.,위탁연구개발기관 지급 연구개발비,1,FORMULA,조정 직접비의 40% 이내,초과 시 인정이 필요하며 원래계획 대비 20% 이상 증액은 사전승인 대상입니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제12조·제27조""]",2026-05-06,190,True
LEGAL_DIRECT_INTERNATIONAL,DIRECT_INTERNATIONAL,국제공동연구개발비,국제공동연구개발비으로 사용할 수 있는 지침상 세부 항목입니다.,"외국 소재 기관 공동연구비, 외국인 공동연구비",2,APPROVAL_BASED,승인·인정 범위,협약과 중앙행정기관 승인에 따라 외국기관 또는 외국인에게 지급합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제13조·제28조""]",2026-05-06,200,True
LEGAL_DIRECT_RND_CONTRIBUTION,DIRECT_RND_CONTRIBUTION,연구개발부담비,연구개발부담비으로 사용할 수 있는 지침상 세부 항목입니다.,"기본사업 연구개발비 부담금, 기본사업 수행 타 연구개발기관 지급비",2,INSTITUTION_BASED,대상 기관에 한해 계상,정부출연기관 등 고시상 적용 대상 기관에 한합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제14조·제29조""]",2026-05-06,210,True
LEGAL_INDIRECT_HR_SUPPORT,INDIRECT_HR_SUPPORT,인력지원비,인력지원비으로 사용할 수 있는 지침상 세부 항목입니다.,"연구지원인력 인건비, 연구개발능률성과급, 육아휴직 기간 4대보험 기관부담금, 육아휴직 기간 퇴직급여충당금, 비영리기관 연구자·연구지원인력 인건비 관련 비용",5,INSTITUTION_BASED,기관 유형별 간접비 범위,인력지원비의 세부 사용용도와 제외항목을 적용합니다.,project_indirect_cost * 0.10,ALL_OR_RULE_SPECIFIC,NOT_ALLOWED,"[""제15조·제15조의2""]",2026-05-06,300,True
LEGAL_INDIRECT_RESEARCH_SUPPORT,INDIRECT_RESEARCH_SUPPORT,연구지원비,연구지원비으로 사용할 수 있는 지침상 세부 항목입니다.,"기관 공통 비용, 사업단·연구단 운영비, 사업단·연구단 비품 구입비, 기반시설·장비 운영 클라우드 비용, 연구실안전관리비, 연구보안 장비 구입비, 연구보안 교육비, 보안취약점 진단비, 보안사고 대응 지원비, 보안컨설팅비, 기술자료 임치 비용, 국가핵심기술 보호조치 비용, 그 밖의 연구보안 비용, 연구윤리활동비, 비영리기관 연구시설·장비 구축·운영 및 연구환경 유지비",15,INSTITUTION_BASED,기관 유형별 간접비 범위,연구시설·장비·연구환경 및 안전·보안·윤리 비용을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제16조·제16조의2""]",2026-05-06,310,True
LEGAL_INDIRECT_OUTCOME_SUPPORT,INDIRECT_OUTCOME_SUPPORT,성과활용지원비,성과활용지원비으로 사용할 수 있는 지침상 세부 항목입니다.,"과학홍보물 제작비, 과학문화 행사프로그램비, 강연·체험활동비, 연구실 개방 비용, 홍보전문가 양성비, 그 밖의 과학기술문화 확산비, 지식재산권 출원비, 지식재산권 등록비, 지식재산권 유지비, 기술가치평가비, 기술이전 지원비, 표준 활동비, 연구노트 제정·운영·교육비, 비영리기관 과학기술문화·지식재산·성과활용 지원비",14,INSTITUTION_BASED,기관 유형별 간접비 범위,과학문화·지식재산·연구성과 활용 지원 비용을 적용합니다.,,ALL_OR_RULE_SPECIFIC,CHECK_ALL_APPLICABLE_RULES,"[""제17조·제17조의2""]",2026-05-06,320,True
